study	year	pubmed_link	full_text_link	first_author	last_author	animal_species	animal_strain	animal_sex	animal_model_name	animal_model_citation	prnp_genotype	prp_expression_level	prion_strain	avg_age_at_inoculation_days	inoculum_titer	inoculum_volume_ul	ld50_prions	infection_route	treatment_route	vehicle	control_compound	treatment_class	treatment	dose_description	dose_number_deprecated	peak_dose_mgkgday	equiv_peak_dose_mg_70kg_human	treatment_started_dpi	treatment_stopped_dpi	endpoint	treatment_endpoint_dpi	treatment_sd	treatment_sem	treatment_n	treatment_attack_rate	treatment_censored_dpi	control_endpoint_dpi	control_sd	control_n	control_attack_rate	delay	reported_p	eyeballed	comments		
Cortes 2012	2012	http://www.ncbi.nlm.nih.gov/pubmed/22956830	http://www.jneurosci.org/content/32/36/12396.full.pdf	Cortes	Mastrianni	mice	-		Tg(PrP-A116V)	Yang 2009 http://www.ncbi.nlm.nih.gov/pubmed/19675240/	A117V/129V	5	GSS						p.o.			small molecule	rapamycin	10mg/kg 3x/week		4.3	24.3	42		symptomatic	149.0	18.1	3.7	24	1		134.0	11.6	20	1	0.11	0.05		treatment started figures refer to age of mice		
Cortes 2012	2012	http://www.ncbi.nlm.nih.gov/pubmed/22956830	http://www.jneurosci.org/content/32/36/12396.full.pdf	Cortes	Mastrianni	mice	-		Tg(PrP-A116V)	Yang 2009 http://www.ncbi.nlm.nih.gov/pubmed/19675240/	A117V/129V	5	GSS						p.o.			small molecule	rapamycin	20mg/kg 3x/week		8.6	48.6	42		symptomatic	159.0	20.1	4.2	23	1		134.0	11.6	20	1	0.19	0.0001		treatment started figures refer to age of mice		
Cortes 2012	2012	http://www.ncbi.nlm.nih.gov/pubmed/22956830	http://www.jneurosci.org/content/32/36/12396.full.pdf	Cortes	Mastrianni	mice	-		Tg(PrP-A116V)	Yang 2009 http://www.ncbi.nlm.nih.gov/pubmed/19675240/	A117V/129V	5	GSS						p.o.			small molecule	rapamycin	10mg/kg 3x/week		4.3	24.3	42		survival	175	16.6	3.8	19	1		173.0	16.5	20	1	0.01	1		treatment started figures refer to age of mice		
Cortes 2012	2012	http://www.ncbi.nlm.nih.gov/pubmed/22956830	http://www.jneurosci.org/content/32/36/12396.full.pdf	Cortes	Mastrianni	mice	-		Tg(PrP-A116V)	Yang 2009 http://www.ncbi.nlm.nih.gov/pubmed/19675240/	A117V/129V	5	GSS						p.o.			small molecule	rapamycin	20mg/kg 3x/week		8.6	48.6	42		survival	189	15.7	3.8	17	1		173.0	16.5	20	1	0.09	0.018		treatment started figures refer to age of mice		
Pocchiari 1987	1987	http://www.ncbi.nlm.nih.gov/pubmed/2433387	http://vir.sgmjournals.org/content/68/1/219.full.pdf	Pocchiari	Masullo	hamsters	-				wt	1	263K	21	0.1			i.c.	i.p.	.9% NaCl	.9% NaCl	small molecule	amphotericin b	1mg/kg 6x/week (increased from starting dose of 0.1mg/kg)		0.9	8.1	0	50	symptomatic	82.7	5.1		7	1		54.6	4.7	62	1	0.51	0.0001				
Pocchiari 1987	1987	http://www.ncbi.nlm.nih.gov/pubmed/2433387	http://vir.sgmjournals.org/content/68/1/219.full.pdf	Pocchiari	Masullo	hamsters	-				wt	1	263K	21	0.1			i.c.	i.p.	.9% NaCl	.9% NaCl	small molecule	amphotericin b	1mg/kg 6x/week (increased from starting dose of 0.1mg/kg)		0.9	8.1	0	75	symptomatic	95.9	3.5		8	1		54.6	4.7	62	1	0.76	0.0001				
Pocchiari 1987	1987	http://www.ncbi.nlm.nih.gov/pubmed/2433387	http://vir.sgmjournals.org/content/68/1/219.full.pdf	Pocchiari	Masullo	hamsters	-				wt	1	263K	21	0.1			i.c.	i.p.	.9% NaCl	.9% NaCl	small molecule	amphotericin b	1mg/kg 6x/week (increased from starting dose of 0.1mg/kg)		0.9	8.1	0	100	symptomatic	101.6	2.2		7	1		54.6	4.7	62	1	0.86	0.0001				
Pocchiari 1987	1987	http://www.ncbi.nlm.nih.gov/pubmed/2433387	http://vir.sgmjournals.org/content/68/1/219.full.pdf	Pocchiari	Masullo	hamsters	-				wt	1	263K	21	0.1			i.c.	i.p.	.9% NaCl	.9% NaCl	small molecule	amphotericin b	1mg/kg 6x/week (increased from starting dose of 0.1mg/kg)		0.9	8.1	55		symptomatic	68.7			10	1		68.9		7	1	0.00	1		"treated from onset of ""clinical signs"" (score 3), which occurred at 54.6 +/- 4.7 dpi.  tested delay from clinical onset (score 3) to ""advanced clinical signs"" (score 4). animals were not sacrified until ""advanced stage of disease"" (score 4)"		
Pocchiari 1987	1987	http://www.ncbi.nlm.nih.gov/pubmed/2433387	http://vir.sgmjournals.org/content/68/1/219.full.pdf	Pocchiari	Masullo	hamsters	-				wt	1	263K	21	0.1			i.p.	i.p.	.9% NaCl	.9% NaCl	small molecule	amphotericin b	1mg/kg 6x/week (increased from starting dose of 0.1mg/kg)		0.9	8.1	0	50	symptomatic	162.8	31.3		5	1		107.2	6.9	5	1	0.52					
Pocchiari 1989	1989	http://www.ncbi.nlm.nih.gov/pubmed/2509571		Pocchiari	Ladogana	hamsters	-				wt	1	263K		0.1	50		i.c.	i.p.	sodium deoxycholate in phosphate buffer	sodium deoxycholate in phosphate buffer	small molecule	amphotericin b	1 mg/kg 6x/wk		0.9	8.1	-14	0	symptomatic	71.1	2.3		9	1		51.2	1.3	9	1	0.39	0.001				
