study	year	pubmed_link	first_author	last_author	animal_species	animal_strain	animal_model_name	animal_model_citation	prnp_genotype	prp_expression_level	prion_strain	avg_age_at_inoculation_days	inoculum_titer	inoculum_volume_ul	infection_route	treatment_route	vehicle	control_compound	compound	dose_description	dose_number_deprecated	peak_dose_mgkgday	equiv_peak_dose_mg_70kg_human	treatment_started_dpi	treatment_stopped_dpi	endpoint	treatment_days_to_endpoint	treatment_sd	treatment_sem	treatment_n	control_days_to_endpoint	control_sd	control_n	delay	reported_p	eyeballed	comments
Cortes 2012	2012		Cortes	Mastrianni	mice	-	Tg(PrP-A116V)	Yang 2009 http://www.ncbi.nlm.nih.gov/pubmed/19675240/	A117V/129V	5	GSS					oral			rapamycin	10mg/kg 3x/week		4.3	24.3	42	death	onset	149.0	3.7		24	134.0	2.6	20	0.11	0.05		treatment started figures refer to age of mice
Cortes 2012	2012		Cortes	Mastrianni	mice	-	Tg(PrP-A116V)	Yang 2009 http://www.ncbi.nlm.nih.gov/pubmed/19675240/	A117V/129V	5	GSS					oral			rapamycin	20mg/kg 3x/week		8.6	48.6	42	death	onset	159.0	4.2		23	134.0	2.6	20	0.19	0.0001		treatment started figures refer to age of mice
Cortes 2012	2012		Cortes	Mastrianni	mice	-	Tg(PrP-A116V)	Yang 2009 http://www.ncbi.nlm.nih.gov/pubmed/19675240/	A117V/129V	5	GSS					oral			rapamycin	10mg/kg 3x/week		4.3	24.3	42	death	survival	175	3.8		19	173.0	3.7	20	0.01	1		treatment started figures refer to age of mice
Cortes 2012	2012		Cortes	Mastrianni	mice	-	Tg(PrP-A116V)	Yang 2009 http://www.ncbi.nlm.nih.gov/pubmed/19675240/	A117V/129V	5	GSS					oral			rapamycin	20mg/kg 3x/week		8.6	48.6	42	death	survival	189	3.8		17	173.0	3.7	20	0.09	0.018		treatment started figures refer to age of mice
Pocchiari 1987	1987		Pocchiari	Masullo	hamsters	-				1	263K	weaning	0.1		i.c.	i.p.	.9% NaCl	.9% NaCl	amphotericin b	1mg/kg 6x/week (increased from starting dose of 0.1mg/kg)		0.9	8.1	0	50	clinical signs	82.7	5.1		7	54.6	4.7	62	0.51	0.0001		
Pocchiari 1987	1987		Pocchiari	Masullo	hamsters	-				1	263K	weaning	0.1		i.c.	i.p.	.9% NaCl	.9% NaCl	amphotericin b	1mg/kg 6x/week (increased from starting dose of 0.1mg/kg)		0.9	8.1	0	75	clinical signs	95.9	3.5		8	54.6	4.7	62	0.76	0.0001		
Pocchiari 1987	1987		Pocchiari	Masullo	hamsters	-				1	263K	weaning	0.1		i.c.	i.p.	.9% NaCl	.9% NaCl	amphotericin b	1mg/kg 6x/week (increased from starting dose of 0.1mg/kg)		0.9	8.1	0	100	clinical signs	101.6	2.2		7	54.6	4.7	62	0.86	0.0001		
Pocchiari 1987	1987		Pocchiari	Masullo	hamsters	-				1	263K	weaning	0.1		i.c.	i.p.	.9% NaCl	.9% NaCl	amphotericin b	1mg/kg 6x/week (increased from starting dose of 0.1mg/kg)		0.9	8.1	55	advanced clinical signs	advanced clinical signs	14.1	2.5		10	14.3	3.7	7	-0.01	1		"treated from onset of clinical signs, which occurred at 54.6 +/- 4.7 dpi.  tested delay from clinical onset (score 3) to 'advanced' clinical signs."
Pocchiari 1987	1987		Pocchiari	Masullo	hamsters	-				1	263K	weaning	0.1		i.p.	i.p.	.9% NaCl	.9% NaCl	amphotericin b	1mg/kg 6x/week (increased from starting dose of 0.1mg/kg)		0.9	8.1	0	50	clinical signs	162.8	31.3		5	107.2	6.9	5	0.52			
Pocchiari 1989	1989		Pocchiari	Ladogana	hamsters	-					263K		0.1	50	i.c.	i.p.	sodium deoxycholate in phosphate buffer	sodium deoxycholate in phosphate buffer	amphotericin b	1 mg/kg 6x/wk		0.9	8.1	-14	0	clinical signs	71.1	2.3		9	51.2	1.3	9	0.39	0.001		
Pocchiari 1989	1989		Pocchiari	Ladogana	hamsters	-					263K		0.1	50	i.c.	i.p.	sodium deoxycholate in phosphate buffer	sodium deoxycholate in phosphate buffer	amphotericin b	1 mg/kg 6x/wk		0.9	8.1	0	7	clinical signs	64.9	1.7		8	51.2	1.3	9	0.27	0.001		
Pocchiari 1989	1989		Pocchiari	Ladogana	hamsters	-					263K		0.1	50	i.c.	i.p.	sodium deoxycholate in phosphate buffer	sodium deoxycholate in phosphate buffer	amphotericin b	1 mg/kg 6x/wk		0.9	8.1	7	14	clinical signs	56.5	1.0		8	51.2	1.3	9	0.10	0.01		
Pocchiari 1989	1989		Pocchiari	Ladogana	hamsters	-					263K		0.1	50	i.c.	i.p.	sodium deoxycholate in phosphate buffer	sodium deoxycholate in phosphate buffer	amphotericin b	1 mg/kg 6x/wk		0.9	8.1	21	28	clinical signs	57.1	1.5		8	51.2	1.3	9	0.12	0.01		
Pocchiari 1989	1989		Pocchiari	Ladogana	hamsters	-					263K		0.1	50	i.c.	i.p.	sodium deoxycholate in phosphate buffer	sodium deoxycholate in phosphate buffer	amphotericin b	1 mg/kg 6x/wk		0.9	8.1	28	35	clinical signs	52.8	0.4		8	51.2	1.3	9	0.03	1		
Pocchiari 1989	1989		Pocchiari	Ladogana	hamsters	-					263K		0.1	50	i.c.	i.p.	sodium deoxycholate in phosphate buffer	sodium deoxycholate in phosphate buffer	amphotericin b	0.1 mg/kg 6x/wk		0.1	0.8	0	50	clinical signs	70.4	2.0		8	56.7	0.5	14	0.24	0.001		
Pocchiari 1989	1989		Pocchiari	Ladogana	hamsters	-					263K		0.1	50	i.c.	i.p.	sodium deoxycholate in phosphate buffer	sodium deoxycholate in phosphate buffer	amphotericin b	1 mg/kg 6x/wk		0.9	8.1	0	50	clinical signs	78.3	2.2		7	56.7	0.5	14	0.38	0.001		
Pocchiari 1989	1989		Pocchiari	Ladogana	hamsters	-					263K		0.1	50	i.c.	i.p.	sodium deoxycholate in phosphate buffer	sodium deoxycholate in phosphate buffer	amphotericin b	5 mg/kg 6x/wk		4.3	40.5	0	50	clinical signs	89.1	1.1		8	56.7	0.5	14	0.57	0.001		
Pocchiari 1989	1989		Pocchiari	Ladogana	hamsters	-					263K		0.1	50	i.c.	i.p.	sodium deoxycholate in phosphate buffer	sodium deoxycholate in phosphate buffer	amphotericin b	10 mg/kg 6x/wk		8.6	81.1	0	10	clinical signs	77.8	1.4		4	56.7	0.5	14	0.37	0.001		half (4/8) the mice died of the AmB dose
Pocchiari 1989	1989		Pocchiari	Ladogana	hamsters	-					263K		0.1	50	i.p.	i.p.	sodium deoxycholate in phosphate buffer	sodium deoxycholate in phosphate buffer	amphotericin b	1 mg/kg 6x/wk		0.9	8.1	40	clinical signs	clinical signs	122.3	8.1		7	104.6	2.3		0.17	0.05		
Pocchiari 1989	1989		Pocchiari	Ladogana	hamsters	-					263K		0.1	50	i.p.	i.p.	sodium deoxycholate in phosphate buffer	sodium deoxycholate in phosphate buffer	amphotericin b	1 mg/kg 6x/wk		0.9	8.1	50	clinical signs	clinical signs	111.2	7.3		7	104.6	2.3		0.06	1		
Pocchiari 1989	1989		Pocchiari	Ladogana	hamsters	-					263K		0.1	50	i.p.	i.p.	sodium deoxycholate in phosphate buffer	sodium deoxycholate in phosphate buffer	amphotericin b	1 mg/kg 6x/wk		0.9	8.1	60	clinical signs	clinical signs	100.9	4.7		7	104.6	2.3		-0.04	1		
Pocchiari 1989	1989		Pocchiari	Ladogana	hamsters	-					263K		0.1	50	i.c.	i.p.	diluted saline	diluted saline	mepartricin	.025 mg/kg 6x/wk		0.021	0.2	0	50	clinical signs	65.4	1.9		9	60.7	0.8	18	0.08	1		
Pocchiari 1989	1989		Pocchiari	Ladogana	hamsters	-					263K		0.1	50	i.c.	i.p.	diluted saline	diluted saline	mepartricin	.25 mg/kg 6x/wk		0.2	2.0	0	50	clinical signs	61.7	2.2		9	60.7	0.8	18	0.02	1		
Pocchiari 1989	1989		Pocchiari	Ladogana	hamsters	-					263K		0.1	50	i.c.	i.p.	diluted saline	diluted saline	mepartricin	1 mg/kg 6x/wk		0.9	8.1	0	50	clinical signs	59.0	0.1		8	60.7	0.8	18	-0.03	1		
Pocchiari 1989	1989		Pocchiari	Ladogana	hamsters	-					263K		0.1	50	i.p.	i.p.	diluted saline	diluted saline	mepartricin	.25 mg/kg 6x/wk		0.2	2.0	0	50	clinical signs	100.8	10.7		6	91.2	2.4	18	0.11	1		
Pocchiari 1989	1989		Pocchiari	Ladogana	hamsters	-					263K		0.1	50	i.p.	i.p.	diluted saline	diluted saline	mepartricin	1 mg/kg 6x/wk		0.9	8.1	0	50	clinical signs	112.8	8.3		5	91.2	2.4	18	0.24	0.005		
Xi 1992	1992		Xi	Pocchiari	hamsters	-					263K	weaning	0.1	50	i.c.	i.p.		sodium deoxycholate in phosphate buffer	amphotericin b	1 mg/kg 6x/wk		0.9	8.1	1	clinical signs	clinical signs	98.6	2.7		9	56.6	3.7	17	0.74	0.001		
Xi 1992	1992		Xi	Pocchiari	hamsters	-					139H	weaning	0.1	50	i.c.	i.p.		sodium deoxycholate in phosphate buffer	amphotericin b	1 mg/kg 6x/wk		0.9	8.1	0	130	clinical signs	138.2	1.0		13	138.1	3.3	20	0.00	1		
Xi 1992	1992		Xi	Pocchiari	mice	Swiss					139A		0.1	30	i.c.	i.p.		sodium deoxycholate in phosphate buffer	amphotericin b	3 mg/kg 6x/wk		2.6	14.6	0	90	clinical signs	131.9	7.3		12	131.4	3.9	17	0.00	1		
McKenzie 1994	1994		McKenzie	Aiken	hamsters	Syrian					263K		0.01	50	i.c.	i.p.			amphotericin b	1 mg/kg 6x/wk		0.9	8.1	1	?	clinical signs	87.5	4.8		25	61.7	2.6	19	0.42	0.0005		
McKenzie 1994	1994		McKenzie	Aiken	hamsters	Syrian					263K		0.01	50	i.c.	i.p.			amphotericin b	1 mg/kg 6x/wk		0.9	8.1	1	?	survival	107.0	3.1		16	83.7	2.8	12	0.28	0.0005		
Demaimay 1994	1994		Demaimay	Dormont	hamsters	Syrian					263K		0.01	50	i.c.	i.p.	5% w/v glucose solution	see comments	amphotericin b	2.5 mg/kg/day		2.1	20.3	0	7	survival	98.7	0.7		3	84.0		5	0.18	0.03		averaged NMG (88 dpi) and untreated controls (81.3 dpi) which were not significantly different from each other
Demaimay 1994	1994		Demaimay	Dormont	hamsters	Syrian					263K		0.01	50	i.c.	i.p.	NMG in 5% wt/vol glucose solution	see comments	MS-8209	2.5 mg/kg/day		2.1	20.3	0	7	survival	100.7	0.3		3	84.0		5	0.20	0.03		averaged NMG and untreated controls which were not significantly different from each other
Demaimay 1994	1994		Demaimay	Dormont	mice	-					C506M3		0.01	20	i.c.	i.p.	5% w/v glucose solution	untreated	amphotericin b	2.5 mg/kg/day		2.1	12.2	0	death	survival	222.7	7.1		6	170.7	2.3	3	0.30	0.03		"control average (n=3) was duplicated in 24 other mice, ""data not shown"""
Demaimay 1994	1994		Demaimay	Dormont	mice	-					C506M3		0.01	20	i.c.	i.p.	NMG in 5% wt/vol glucose solution	untreated	MS-8209	2.5 mg/kg/day		2.1	12.2	0	death	survival	214.8	16.6		6	170.7	2.3	3	0.26	0.03		"control average (n=3) was duplicated in 24 other mice, ""data not shown"""
Demaimay 1994	1994		Demaimay	Dormont	mice	-					C506M3		0.01	80	i.c.	i.p.	NMG in 5% wt/vol glucose solution	see comments	MS-8209	.25 mg/kg/day		0.2	1.2	-7	40	survival	330.0	3.9		6	329.6	6.7	6	0.00	1		averaged NMG (88 dpi) and untreated controls (81.3 dpi) which were not significantly different from each other
Demaimay 1994	1994		Demaimay	Dormont	mice	-					C506M3		0.01	80	i.c.	i.p.	NMG in 5% wt/vol glucose solution	see comments	MS-8209	2.5 mg/kg/day		2.1	12.2	-7	40	survival	349.3	9.5		5	329.6	6.7	6	0.06	0.04		averaged NMG and untreated controls which were not significantly different from each other
Demaimay 1994	1994		Demaimay	Dormont	mice	-					C506M3		0.01	80	i.c.	i.p.			MS-8209	25 mg/kg/day		21.4	121.6	-7	40	survival	357.1	7.5		12	332.7	6.7	6	0.07	0.001		
Adjou 1995	1995		Adjou	Dormont	hamsters	Syrian					263K		0.01	50	i.c.	i.p.			amphotericin b	2.5 mg/kg  6x/wk	2.5	2.1	20.3	0	death	survival	144.0	1.7			86.6	1.3		0.66	0.005		
Adjou 1995	1995		Adjou	Dormont	hamsters	Syrian					263K		0.01	50	i.c.	i.p.			MS-8209	2.5 mg/kg  6x/wk	2.5	2.1	20.3	0	death	survival	151.5	0.7			86.6	1.3		0.75	0.005		
Adjou 1995	1995		Adjou	Dormont	hamsters	Syrian					263K		0.01	50	i.c.	i.p.			MS-8209	10 mg/kg  6x/wk	10	8.6	81.1	0	death	survival	171.0	1.0			86.6	1.3		0.97	0.005		
Adjou 1995	1995		Adjou	Dormont	hamsters	Syrian					263K		0.01	50	i.c.	i.p.			MS-8209	25 mg/kg  6x/wk	25	21.4	202.7	0	death	survival	171.1	1.2			86.6	1.3		0.98	0.005		
Adjou 1995	1995		Adjou	Dormont	hamsters	Syrian					263K		0.01	50	i.c.	i.p.			amphotericin b	1 mg/kg  6x/wk	1	0.9	8.1	-14	0	survival	106.0			6	87.0		12	0.22		1	numbers estimated from visual in Fig1A
Adjou 1995	1995		Adjou	Dormont	hamsters	Syrian					263K		0.01	50	i.c.	i.p.			amphotericin b	2.5 mg/kg  6x/wk	2.5	2.1	20.3	0	6	survival	100.0			6	87.0		12	0.15		1	numbers estimated from visual in Fig1A
Adjou 1995	1995		Adjou	Dormont	hamsters	Syrian					263K		0.01	50	i.c.	i.p.			MS-8209	2.5 mg/kg  6x/wk	2.5	2.1	20.3	0	6	survival	102.0			6	87.0		12	0.17		1	numbers estimated from visual in Fig1A
Adjou 1995	1995		Adjou	Dormont	hamsters	Syrian					263K		0.01	50	i.c.	i.p.			MS-8209	2.5 mg/kg  6x/wk	2.5	2.1	20.3	-14	0	survival	104.0			6	87.0		12	0.20		1	numbers estimated from visual in Fig1A
Adjou 1995	1995		Adjou	Dormont	hamsters	Syrian					263K		0.01	50	i.c.	i.p.			MS-8209	25 mg/kg  6x/wk	25	21.4	202.7	0	6	survival	120.0			6	87.0		12	0.38		1	numbers estimated from visual in Fig1A
Adjou 1995	1995		Adjou	Dormont	hamsters	Syrian					263K		0.01	50	i.c.	i.p.			MS-8209	25 mg/kg  6x/wk	25	21.4	202.7	-14	0	survival	118.0			6	87.0		12	0.36		1	numbers estimated from visual in Fig1A
Adjou 1995	1995		Adjou	Dormont	hamsters	Syrian					263K		0.01	50	i.c.	i.p.			MS-8209	25 mg/kg  6x/wk	25	21.4	202.7	-7	7	survival	122.0			6	87.0		12	0.40		1	numbers estimated from visual in Fig1A
Adjou 1995	1995		Adjou	Dormont	hamsters	Syrian					263K		0.01	50	i.c.	i.p.			amphotericin b	50 mg/kg  one-time dose	50	42.9	405.4	0	0	survival	110.0			4	87.0		12	0.26		1	numbers estimated from visual in Fig1A; some mice died of toxicity
Adjou 1995	1995		Adjou	Dormont	hamsters	Syrian					263K		0.01	50	i.c.	i.p.			MS-8209	50 mg/kg  one-time dose	50	42.9	405.4	0	0	survival	108.0			4	87.0		12	0.24		1	numbers estimated from visual in Fig1A; some mice died of toxicity
Adjou 1995	1995		Adjou	Dormont	hamsters	Syrian					263K		0.01	50	i.c.	i.p.			MS-8209	100 mg/kg  one-time dose	100	85.7	810.8	0	0	survival	111.0			4	87.0		12	0.28		1	numbers estimated from visual in Fig1A; some mice died of toxicity
Demaimay 1997	1997		Demaimay	Dormont	hamsters	Syrian					C506M3		0.01	20	i.c.	i.p.			amphotericin b	2.5 mg/kg  6x/wk	2.5	2.1	20.3	90	120	survival	169.7	3.1		5	159.8	2.5	4	0.06	1	0	
Demaimay 1997	1997		Demaimay	Dormont	hamsters	Syrian					C506M3		0.01	20	i.c.	i.p.			MS-8209	2.5 mg/kg  6x/wk	2.5	2.1	20.3	90	120	survival	176.0	4.4		5	159.8	2.5	4	0.10	0.01	0	
Demaimay 1997	1997		Demaimay	Dormont	hamsters	Syrian					C506M3		0.01	20	i.c.	i.p.			amphotericin b	2.5 mg/kg  6x/wk	2.5	2.1	20.3	90	120	survival	179.9	6.3		8	169.4	4.7	11	0.06	0.01	0	
Demaimay 1997	1997		Demaimay	Dormont	hamsters	Syrian					C506M3		0.01	20	i.c.	i.p.			MS-8209	2.5 mg/kg  6x/wk	2.5	2.1	20.3	90	120	survival	178.7	4.3		7	169.4	4.7	11	0.05	0.01	0	
Demaimay 1997	1997		Demaimay	Dormont	hamsters	Syrian					C506M3		0.01	20	i.c.	i.p.			MS-8209	25 mg/kg  6x/wk	25	21.4	202.7	90	120	survival	190.6	9.1		7	169.4	4.7	11	0.13	0.01	0	
Demaimay 1997	1997		Demaimay	Dormont	hamsters	Syrian					C506M3		0.01	20	i.c.	i.p.			amphotericin b	1 mg/kg  6x/wk	1	0.9	8.1	80	death	survival	187.0	1.4		8	158.0	3.1	6	0.18	0.01	0	
Demaimay 1997	1997		Demaimay	Dormont	hamsters	Syrian					C506M3		0.01	20	i.c.	i.p.			amphotericin b	2.5 mg/kg  6x/wk	2.5	2.1	20.3	80	death	survival	196.0	2.3		8	158.0	3.1	6	0.24	0.01	0	
Demaimay 1997	1997		Demaimay	Dormont	hamsters	Syrian					C506M3		0.01	20	i.c.	i.p.			MS-8209	1 mg/kg  6x/wk	1	0.9	8.1	80	death	survival	187.0	2.4		8	158.0	3.1	6	0.18	0.01	0	
Demaimay 1997	1997		Demaimay	Dormont	hamsters	Syrian					C506M3		0.01	20	i.c.	i.p.			MS-8209	2.5 mg/kg  6x/wk	2.5	2.1	20.3	80	death	survival	198.0	1.3		8	158.0	3.1	6	0.25	0.01	0	
Demaimay 1997	1997		Demaimay	Dormont	hamsters	Syrian					C506M3		0.01	20	i.c.	i.p.			MS-8209	25 mg/kg  6x/wk	25	21.4	202.7	80	death	survival	221.0	4.1		8	158.0	3.1	6	0.40	0.01	0	
Demaimay 1997	1997		Demaimay	Dormont	hamsters	Syrian					C506M3		0.01	20	i.c.	i.p.			amphotericin b	1 mg/kg  6x/wk	1	0.9	8.1	110	death	survival	182.0	1.4		8	160.0	2.5	6	0.14	0.01	0	
Demaimay 1997	1997		Demaimay	Dormont	hamsters	Syrian					C506M3		0.01	20	i.c.	i.p.			amphotericin b	2.5 mg/kg  6x/wk	2.5	2.1	20.3	110	death	survival	182.0	1.6		8	160.0	2.5	6	0.14	0.01	0	
Demaimay 1997	1997		Demaimay	Dormont	hamsters	Syrian					C506M3		0.01	20	i.c.	i.p.			MS-8209	1 mg/kg  6x/wk	1	0.9	8.1	110	death	survival	173.0	3.1		8	160.0	2.5	6	0.08	0.01	0	
Demaimay 1997	1997		Demaimay	Dormont	hamsters	Syrian					C506M3		0.01	20	i.c.	i.p.			MS-8209	2.5 mg/kg  6x/wk	2.5	2.1	20.3	110	death	survival	180.0	1.3		8	160.0	2.5	6	0.13	0.01	0	
Demaimay 1997	1997		Demaimay	Dormont	hamsters	Syrian					C506M3		0.01	20	i.c.	i.p.			MS-8209	25 mg/kg  6x/wk	25	21.4	202.7	110	death	survival	190.0	2.2		8	160.0	2.5	6	0.19	0.01	0	
Demaimay 1997	1997		Demaimay	Dormont	hamsters	Syrian					C506M3		0.01	20	i.c.	i.p.			amphotericin b	1 mg/kg  6x/wk	1	0.9	8.1	140	death	survival	164.0	2.2		12	157.0	1.2	6	0.04	0.05	0	some mice died of toxicity
Demaimay 1997	1997		Demaimay	Dormont	hamsters	Syrian					C506M3		0.01	20	i.c.	i.p.			amphotericin b	2.5 mg/kg  6x/wk	2.5	2.1	20.3	140	death	survival	167.0	2.5		11	157.0	1.2	6	0.06	0.05	0	some mice died of toxicity
Demaimay 1997	1997		Demaimay	Dormont	hamsters	Syrian					C506M3		0.01	20	i.c.	i.p.			MS-8209	1 mg/kg  6x/wk	1	0.9	8.1	140	death	survival	164.0	2.1		10	157.0	1.2	6	0.04	1	0	
Demaimay 1997	1997		Demaimay	Dormont	hamsters	Syrian					C506M3		0.01	20	i.c.	i.p.			MS-8209	2.5 mg/kg  6x/wk	2.5	2.1	20.3	140	death	survival	165.0	2.2		11	157.0	1.2	6	0.05	0.05	0	some mice died of toxicity
Demaimay 1997	1997		Demaimay	Dormont	hamsters	Syrian					C506M3		0.01	20	i.c.	i.p.			MS-8209	25 mg/kg  6x/wk	25	21.4	202.7	140	death	survival	172.0	3.4		12	157.0	1.2	6	0.10	0.05	0	some mice died of toxicity
Adjou 1999	1999		Adjou	Dormont	hamsters	Syrian					263K		0.01	50	i.c.	i.p.			amphotericin b	1 mg/kg  6x/wk	1	0.9	8.1	0	death	survival								0.46		0	
Adjou 1999	1999		Adjou	Dormont	hamsters	Syrian					263K		0.01	50	i.c.	i.p.			amphotericin b	2.5 mg/kg  6x/wk	2.5	2.1	20.3	0	death	survival								0.66		0	
Adjou 1999	1999		Adjou	Dormont	hamsters	Syrian					263K		0.01	50	i.c.	i.p.			MS-8209	2.5 mg/kg  6x/wk	2.5	2.1	20.3	0	death	survival								0.75		0	
Adjou 1999	1999		Adjou	Dormont	hamsters	Syrian					263K		0.01	50	i.c.	i.p.			MS-8209	10 mg/kg  6x/wk	10	8.6	81.1	0	death	survival								1.00		0	
Adjou 1999	1999		Adjou	Dormont	hamsters	Syrian					263K		0.01	50	i.c.	i.p.			MS-8209	25 mg/kg  6x/wk	25	21.4	202.7	0	death	survival								1.00		0	
Adjou 2000	2000		Adjou	Dormont	hamsters	Syrian					263K		0.01	50	i.c.	i.p.			amphotericin b	2.5 mg/kg  6x/wk	2.5	2.1	20.3	30	death	survival	99.0	1.4		7	80.0	1.2	5	0.24	0.01	0	
Adjou 2000	2000		Adjou	Dormont	hamsters	Syrian					263K		0.01	50	i.c.	i.p.			MS-8209	10 mg/kg  6x/wk	10	8.6	81.1	30	death	survival	116.0	0.9		6	80.0	1.2	5	0.45	0.01	0	
Adjou 2000	2000		Adjou	Dormont	hamsters	Syrian					263K		0.01	50	i.c.	i.p.			MS-8209	25 mg/kg  6x/wk	25	21.4	202.7	30	death	survival	123.0	1.7		6	80.0	1.2	5	0.54	0.01	0	
Adjou 1996	1996		Adjou	Dormont	mice	C57BL/6					BSE (mouse-passaged)		0.01	20	i.c.	i.p.			amphotericin b	2.5 mg/kg  6x/wk	2.5	2.1	12.2	0	56	survival	171.0	0.5		10	165.0	1.4	10	0.04	0.05	0	
Adjou 1996	1996		Adjou	Dormont	mice	C57BL/6					BSE (mouse-passaged)		0.01	20	i.c.	i.p.			MS-8209	2.5 mg/kg  6x/wk	2.5	2.1	12.2	0	56	survival	167.0	1.3		10	165.0	1.4	10	0.01	1	0	
Adjou 1996	1996		Adjou	Dormont	mice	C57BL/6					BSE (mouse-passaged)		0.01	20	i.c.	i.p.			MS-8209	10 mg/kg  6x/wk	10	8.6	48.6	0	56	survival	174.0	1.5		10	165.0	1.4	10	0.05	0.05	0	
Adjou 1996	1996		Adjou	Dormont	mice	C57BL/6					BSE (mouse-passaged)		0.01	20	i.c.	i.p.			MS-8209	25 mg/kg  6x/wk	25	21.4	121.6	0	56	survival	170.0	1.5		10	165.0	1.4	10	0.03	0.05	0	
Adjou 1996	1996		Adjou	Dormont	mice	C57BL/6					C506M3		0.01	20	i.c.	i.p.			amphotericin b	2.5 mg/kg  6x/wk	2.5	2.1	12.2	0	56	survival	186.0	1.8		10	169.0	1.2	10	0.10	0.001	0	
Adjou 1996	1996		Adjou	Dormont	mice	C57BL/6					C506M3		0.01	20	i.c.	i.p.			MS-8209	2.5 mg/kg  6x/wk	2.5	2.1	12.2	0	56	survival	194.0	4.3		10	169.0	1.2	10	0.15	0.001	0	
